Id,Nombre,NIT,TipoOperador,Estado,TieneEstaciones,NumEstaciones,Departamento,Municipio,Correo,FechaRegistro
163,VYGO ENERGIA SAS BIC,901679933,Convencional,Activo,NO,0,CAUCA,POPAYAN,info@vygoenergia.com.co,2025-01-23
164,David Santiago Londono Giraldo,1000414906,Convencional,Activo,SI,2,ANTIOQUIA,EL CARMEN DE VIBORAL,hlc.david327@gmail.com,2025-03-26
165,PRUEBA2026,123456789,Convencional,Activo,NO,0,"BOGOTA, D. C.","BOGOTA, D.C.",cavillalobos@minenergia.gov.co,2025-04-03
166,EMCALI EICE ESP,890399003,Convencional,Activo,SI,4,VALLE DEL CAUCA,CALI,gerojas@emcali.com.co,2025-05-02
167,ERCO ENERGÍA SAS,900570286,Convencional,Activo,SI,3,ANTIOQUIA,MEDELLIN,emontoya@erco.energy,2025-05-20
168,Estación De Prueba TI 2,10316539,Convencional,Activo,NO,0,"BOGOTA, D. C.","BOGOTA, D.C.",jsromero@minenergia.gov.co,2025-06-09
169,EMPRESA URRÁ S.A. E.S.P.,800175746-9,Convencional,Activo,NO,0,CORDOBA,MONTERIA,jquintero@urra.com.co,2025-06-09
170,Ergenia S.A.S.,901752457-7,Convencional,Activo,SI,3,"BOGOTA, D. C.","BOGOTA, D.C.",ergeniacolombia@gmail.com,2025-06-11
171,Entorno Silvestre SAS,901037898,Convencional,Activo,NO,0,ANTIOQUIA,PUERTO TRIUNFO,info@entornosilvestre.com,2025-07-09
172,Enerbit SAS ESP,53008790,Convencional,Activo,NO,0,ANTIOQUIA,MEDELLIN,dmmurillom@enerbit.co,2025-07-22
173,Diland Castro,F61579384,Convencional,Activo,NO,0,ANTIOQUIA,MEDELLIN,diland@cmsostenible.org,2025-09-03
174,Hotel El Alfarero SAS,901237957-1,Convencional,Activo,SI,2,ANTIOQUIA,EL CARMEN DE VIBORAL,alfahar@humancraft.com.co,2025-09-11
175,VATIO EV ,10407569843,Convencional,Activo,SI,1,ANTIOQUIA,MEDELLIN,coo@vatio.com.co,2025-10-24
176,Prueba,90999999,Convencional,Inactivo,NO,0,"BOGOTA, D. C.","BOGOTA, D.C.",cavillalobos@minenergia.gov.co,2025-10-27
177,Version 3.0 SAS,900676602,Convencional,Activo,NO,0,ANTIOQUIA,MEDELLIN,jruiseco@zolectrum.com,2025-11-17
178,QA POSITRON SAS,80115846,No convencional,Activo,NO,0,SANTANDER,BUCARAMANGA,diego.aponte@qapositron.com,2025-12-16
179,Benoma Scientific S.A.S,16648216,No convencional,Activo,NO,0,"BOGOTA, D. C.","BOGOTA, D.C.",ventasbenoma@gmail.com,2025-12-16
180,Radicontrol Dosimétrico LTDA.,91489405,No convencional,Activo,NO,0,ATLANTICO,BARRANQUILLA,radicontrol@yahoo.es,2025-12-16
181,Polen Transiciones Justas ,1020738034,Convencional,Activo,NO,0,"BOGOTA, D. C.","BOGOTA, D.C.",juan.diaz@polentj.org,2025-12-17
182,Internacional de Eléctricos S.A.S.,809002625,Convencional,Activo,NO,0,TOLIMA,IBAGUE,leecheverri@iegrupo.co,2025-12-22
183,COPOWER LIMITADA,804011804,Convencional,Activo,SI,1,SANTANDER,BUCARAMANGA,gerencia@copower.com.co,2025-12-22
184,Instituto Colombino de Geología y Minería,899999294-8,No convencional,Activo,NO,0,"BOGOTA, D. C.","BOGOTA, D.C.",radicacioncorrespondencia@sgc.gov.co,2025-12-24
185,SM CONSULTORÍA E INGENIERÍA S.A.S,901639610,Convencional,Activo,SI,1,HUILA,NEIVA,comercial@smcei.com,2026-01-13
186,Energia electrica de colombia SAS,900551493,Convencional,Activo,NO,0,VALLE DEL CAUCA,CALI,obras.energecol@outlook.com,2026-01-28
187,ELECTRICAL CHARGE SAS,901950098,Convencional,Activo,SI,1,ANTIOQUIA,MEDELLIN,info@e-charge.com.co,2026-02-04
188,HUB DE MOVILIDAD PLAZA CALLE 136 SAS,901446446,Convencional,Activo,SI,1,"BOGOTA, D. C.","BOGOTA, D.C.",hubscalle136@gmail.com,2026-02-05
189,CERAMICAS EL DORADO,901299104,Convencional,Activo,SI,1,ANTIOQUIA,EL CARMEN DE VIBORAL,eldorado@humancraft.com.co,2026-02-05
190,HUB DE MOVILIDAD PLAZA CALLE 136 SAS,901446446-4,Convencional,Activo,NO,0,"BOGOTA, D. C.","BOGOTA, D.C.",hubscalle136@gmail.com,2026-02-13
191,MINISTERIO DE MINAS Y ENERGIA,1026277669,Convencional,Activo,NO,0,"BOGOTA, D. C.","BOGOTA, D.C.",cavillalobos@minenergia.gov.co,2026-02-13
192,uae junta pruebas,1016062128,Convencional,Activo,NO,0,"BOGOTA, D. C.","BOGOTA, D.C.",egarciam@minenergia.gov.co,2026-02-15
193,Juan Nicolás Patiño Rodríguez,1013620260,Convencional,Activo,NO,0,"BOGOTA, D. C.","BOGOTA, D.C.",juan.patino@servinformacion.com,2026-02-19
194,CENTRO DE DIAGNOSTICO AUTOMOTRIZ DEL HUILA SAS,900113252,Convencional,Activo,SI,1,HUILA,NEIVA,cdahuila@gmail.com,2026-02-19
195,GREET ENERGY,9013775031,Convencional,Activo,NO,0,ATLANTICO,BARRANQUILLA,evcharge@greetenergy.com,2026-02-28
196,CENTRO-NET S.A.S. ,8050204578,Convencional,Activo,NO,0,VALLE DEL CAUCA,CALI,juridico@centronet.com.co,2026-03-02
